FUDN;Name;Size;Type;Explanation;Version;Status;Modified
32;IMAGERY RECEIVER CALL SIGN;1-20;Instructive;THE CALL SIGN OF THE IMAGERY RECEIVER.;1.0;In Service;03 Dec 07
33;UNIT CALL SIGN;1-38;Instructive;THE CALL SIGN OF A UNIT OR AGENCY.;1.0;In Service;03 Dec 07
34;CALL SIGN, ABBREVIATED;1-12;Instructive;THE ABBREVIATED CALL SIGN ASSIGNED TO ONE OR MORE ENTITIES.;1.0;In Service;03 Dec 07
37;ATTACK AIRCRAFT CALL SIGN;1-12;Instructive;THE CALL SIGN OF THE ATTACK AIRCRAFT SCHEDULED TO RENDEZVOUS WITH A FORWARD AIR CONTROLLER.;1.0;In Service;03 Dec 07
38;ESCORTED CALL SIGN;1-12;Instructive;THE CALL SIGN OF THE ESCORTED AIRCRAFT OR ESCORTED VEHICLES.;1.0;In Service;03 Dec 07
39;OWN CALL SIGN ON ALL ARMS NET;1-38;Instructive;;1.0;In Service;03 Dec 07
41;LINK 16 ABBREVIATED CALL SIGN;1-4;Instructive;THE LINK 16 ABBREVIATED VERSION OF THE CALL SIGN ASSIGNED TO THE LINK 16 EQUIPPED AIRCRAFT.;1.0;In Service;03 Dec 07
42;CALL SIGN BOOK;1-38;Instructive;;1.0;In Service;03 Dec 07
46;NADGE STATION CALL SIGN;1-38;Instructive;;1.0;In Service;03 Dec 07
47;UNIT CALL SIGN, 1-20X;1-20;Instructive;CALLSIGN ASSIGNED TO A UNIT, 1 TO 20 CHARACTERS IN LENGTH.;1.0;In Service;03 Dec 07
48;PRIMARY CONTROL SHIP (PCS) CALL SIGN;1-38;Instructive;THE CALL SIGN OF THE PRIMARY CONTROL SHIP.;1.0;In Service;03 Dec 07
49;SECONDARY CONTROL SHIP (SCS) CALL SIGN;1-38;Instructive;THE CALL SIGN OF THE SECONDARY CONTROL SHIP.;1.0;In Service;03 Dec 07
50;LCAC CONTROL SHIP (LCS) CALL SIGN;1-38;Instructive;THE CALL SIGN OF THE LANDING CRAFT AIR CUSHION (LCAC) CONTROL SHIP (LCS).;1.0;In Service;03 Dec 07
51;ALTERNATIVE LCAC CONTROL SHIP (ALCS) CALL SIGN;1-38;Instructive;THE CALL SIGN OF THE ALTERNATIVE LANDING CRAFT AIR CUSHION (LCAC) CONTROL SHIP (ALCS).;1.0;In Service;03 Dec 07
52;HELICOPTER CONTROL SHIP (HCS) CALL SIGN;1-38;Instructive;THE CALL SIGN OF THE HELICOPTER CONTROL SHIP (HCS).;1.0;In Service;03 Dec 07
54;CCO CALL SIGN;1-15;Instructive;THE CALL SIGN FOR THE CENTRAL CONTROL OFFICER (CCO).;1.0;In Service;03 Dec 07
55;ALTERNATIVE HELICOPTER CONTROL SHIP (AHCS) CALL SIGN;1-38;Instructive;THE CALL SIGN OF THE ALTERNATIVE HELICOPTER CONTROL SHIP (AHCS).;1.0;In Service;03 Dec 07
