Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
55;;FIELD;ATO;POC;5.I;;1183/007;M - N;1..60;ELECTRONIC MAIL ADDRESS;MPGT.PlanificationOperation3D;MPIA.AutreAdresse{MPIA.Adresse};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
56;;FIELD;ATO;POC;5.J;;1361/007;M - N;3..20;NON-SECURE FACSIMILE (FAX) NUMBER;MPGT.PlanificationOperation3D;MPIA.AutreAdresse{MPIA.Adresse};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
57;;FIELD;ATO;POC;5.K;;1361/008;M - N;4..20;SECURE FACSIMILE (FAX) NUMBER;MPGT.PlanificationOperation3D;MPIA.AutreAdresse{MPIA.Adresse};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#AssocieCommeObjet{MPIA.AutreAdresse}#MPIA.Adresse.Libelle
58;;SET;ATO;DUTY;;;;O - N;;DUTY ASSIGNMENT DETAILS;;;
59;;;;;;;;;;;;;
60;;SET;ATO;TBMFSTAT;;;;O - N;;TACTICAL BATTLE MANAGEMENT FUNCTION STATUS;;;
61;;;;;;;;;;;;;
62;;SEGMENT;ADAREA;;;;;? - N;;AIR DEFENCE AREA;;;
63;;SET;ADAREA;ADAREA;;;;M - 1;;AIR DEFENCE AREA;MPGT.PlanificationOperation3D;MPIA.AutreElementControle;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}
64;;FIELD;ADAREA;ADAREA;1;;1022/069;M - 1;1..38;AREA NAME;MPGT.PlanificationOperation3D;MPIA.AutreElementControle{MPIA.RacineOperationnelle};APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#MPIA.RacineOperationnelle.Nom
65;;FIELD;ADAREA;ADAREA;2;;1284/023;M - 1;3..8;AIR DEFENCE AREA TYPE;MPGT.PlanificationOperation3D;MPIA.AutreTypeElementControle;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.AutreTypeElementControle}#MPIA.AutreTypeElementControle.Categorie
66;;FIELD;ADAREA;ADAREA;2;;1284/023;M - 1;3..8;AIR DEFENCE AREA TYPE;MPGT.PlanificationOperation3D;MPIA.AutreTypeElementControle;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.AutreTypeElementControle}#MPIA.AutreTypeElementControle.SousCategorie
67;;FIELD;ADAREA;ADAREA;3;;1822/003;O - 1;1..40;AREA TRANSIT INSTRUCTIONS;MPGT.PlanificationOperation3D;MPGT.Reglementation;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstSoumiseA{MPGT.Reglementation}#MPGT.Reglementation.Description
68;;FIELD;ADAREA;ADAREA;4;;1022/271;O - 1;1..38;BROADCAST REFERENCE POINT NAME;MPGT.PlanificationOperation3D;MPIA.AutreElementControle{MPIA.RacineOperationnelle};APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#MPIA.RacineOperationnelle.Commentaire
69;;SET;ADAREA;RADARC;;;;O - 1;;AIRSPACE SHAPE RADARC;;;
70;;;;;;;;;;;;;
71;;SET;ADAREA;POLYGON;;;;C - 1;;SHAPE POLYGON;MPGT.PlanificationOperation3D;;
72;;REPET. GROUP;ADAREA;POLYGON;-;;2023/001;-;;POLYGON POINTS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.AirePolygoneGeometrique}#APourFrontiere{MPGT.CoordonneesLatLong}
73;;FIELD;ADAREA;POLYGON;1.A;;2023/001;M - N;11..11;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;NON_TRACE;;NON_TRACE
74.a;;FIELD;ADAREA;POLYGON;1.B;;2024/001;M - N;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.AirePolygoneGeometrique}#APourFrontiere{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.Latitude
74.b;;FIELD;ADAREA;POLYGON;1.B;;2024/001;M - N;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.AirePolygoneGeometrique}#APourFrontiere{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.Longitude
74.c;;FIELD;ADAREA;POLYGON;1.B;;2024/001;M - N;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.AirePolygoneGeometrique}#APourFrontiere{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.PrecisionLatitude
74d;;FIELD;ADAREA;POLYGON;1.B;;2024/001;M - N;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.AirePolygoneGeometrique}#APourFrontiere{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.PrecisionLongitude
75;;SET;ADAREA;CIRCLE;;;;C - 1;;SHAPE CIRCLE;MPGT.PlanificationOperation3D;;
76;;COMP. FIELD;ADAREA;CIRCLE;1.A;;2023/001;M - 1;11..11;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;NON_TRACE;;NON_TRACE
77a;;COMP. FIELD;ADAREA;CIRCLE;1.B;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.CercleGeometrique}#APourCentre{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.Latitude
77.b;;COMP. FIELD;ADAREA;CIRCLE;1.B;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.CercleGeometrique}#APourCentre{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.Longitude
77c;;COMP. FIELD;ADAREA;CIRCLE;1.B;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.CercleGeometrique}#APourCentre{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.PrecisionLatitude
77.d;;COMP. FIELD;ADAREA;CIRCLE;1.B;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.CoordonneesLatLong;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.CercleGeometrique}#APourCentre{MPGT.CoordonneesLatLong}#MPGT.CoordonneesLatLong.PrecisionLongitude
78.a;;COMP. FIELD;ADAREA;CIRCLE;2;;2118/001;M - 1;2..7;RADIUS, M, KM, NM;MPGT.PlanificationOperation3D;MPGT.CercleGeometrique;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourObjetGeographique{MPGT.CercleGeometrique}#MPGT.CercleGeometrique.Rayon
79;;SS ZONE;ADAREA;CIRCLE;2;1;1023/049;;1..5;CONTEXT QUANTITY, 0 TO 1 DECIMAL PT PERMITTED, 5 CHAR MAX ;NON_TRACE;;NON_TRACE
80;;SS ZONE;ADAREA;CIRCLE;2;2;1008/020;;1..2;UNIT OF LINEAR MEASUREMENT, M, KM, NM;NON_TRACE;;NON_TRACE
81;;SET;ADAREA;AORBIT;;;;C - 1;;AIRSPACE SHAPE ORBIT;;;
82;;FIELD;;;;;;;;;;;
83;;SET;ADAREA;EFFLEVEL;;;;M - 1;;VERTICAL DIMENSION OF THE EFFECTIVE LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}
85;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2166/001
;M - 1;9..11;VERTICAL DIMENSION, BASE REF POINT TO RELATIVE ALTITUDE;NON_TRACE;;
86;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2167/001
;-;8..9;VERTICAL DIMENSION, BASE REF POINT TO FLIGHT LEVEL;NON_TRACE;;
87.a;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2168/001
;-;12..13;VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlancher{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
87.b;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2168/001
;-;12..13;VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlancher{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Valeur
87.c;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2168/001
;-;12..13;VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
87.d;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2168/001
;-;12..13;VERTICAL DIMENSION, RELATIVE ALTITUDE TO FLIGHT LEVEL;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlafond{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Valeur
88.a;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2169/001;-;13..15;VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlancher{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
88.b;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2169/001;-;13..15;VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlancher{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
88.c;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2169/001;-;13..15;VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlancher{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
88.d;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2169/001;-;13..15;VERTICAL DIMENSION, RELATIVE ALTITUDE TO RELATIVE ALT;MPGT.PlanificationOperation3D;MPIA.DistanceVerticale;APourObjectif{MPIA.ObjectifActivite}#AssocieCommeInstanceObjet{MPIA.AutreElementControle}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.CylindreGeometrique}#APourPlancher{MPIA.DistanceVerticale}#MPIA.DistanceVerticale.Reference
89.a;;COMP. FIELD;ADAREA;EFFLEVEL;1;;2099/002
