;SEG ;RPT ;OCC ;SETID ;SEQ ;FIELD OCCURRENCE ;SET FORMAT NAME 
;[ [ ;;O ;RADPA ;79;/M /O /O /O /O /O /O /O // ;RADAR PARAMETERS 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;SIGNA ;80;/M /M /M /O /O // ;SIGNATURE 
;[ [ ;* ;O ;SIGSUM ;81;/M /M /M /O // ;SIGNATURE SUMMATION 
;;;;;;;END OF SEGMENT 
;[ ;;O ;SUMRY ;82;/M /M /M /M /M /M /O // ;CONTACT SUMMARY 
;[ ;;O ;ARR ;83;/M /M /M /M /*O // ;ARRIVAL 
;[ ;;O ;INPORT ;84;/M /M /M /M /*O // ;INPORT 
;[ ;;O ;DEP ;85;/M /M /M /M /*O // ;DEPARTURE 
;[ ;;O ;DEST ;86;/M /M /M /M /*O // ;DESTINATION 
;;;;;;;END OF SEGMENT 
;O ;;[M] ;FISHCTC ;87;/M /M /M /M /M /O /O /O /O /O // ;FISHING VESSEL CONTACT 
;[ ;;O ;ASSOC ;88;/*M // ;ASSOCIATION 
;[ ;;C ;ELLIPSE ;89;/M /M /M /M // ;ELLIPSE 
;[ ;;C ;CIRC ;90;/M /*M // ;CIRCULAR AREA 
;[ ;;C ;AREA ;91;/O /*C // ;AREA 
;[ ;;M ;TIMEVENT ;92;/M /M /M /M /M /O /O // ;TIME OF SENSOR CONTACT EVENT 
;[ ;* ;C ;BRNG ;93;/M /M /M /O /O /O // ;BEARING 
;[ ;* ;M ;TMPOS ;94;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ ;* ;O ;RELPO ;95;/M /M /M /M /M /O /O // ;RELATIVE TO OWN POSITION 
;[ ;* ;O ;REACT ;96;/M /M /M /M /M /O // ;REACTION 
;[ ;;C ;TMPOS ;97;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ O ;;[M] ;ATTACK ;98;/M /M /O /O /O /O // ;ATTACK 
;[ [ ;;M ;TMPOS ;99;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;EMITTER ;100;/M /M /M /O /O /O // ;NON-ACOUSTIC EMISSION INTERCEPT 
;[ [ ;* ;O ;BRNG ;101;/M /M /M /O /O /O // ;BEARING 
;[ [ ;;O ;RADPA ;102;/M /O /O /O /O /O /O /O // ;RADAR PARAMETERS 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;SIGNA ;103;/M /M /M /O /O // ;SIGNATURE 
;[ [ ;* ;O ;SIGSUM ;104;/M /M /M /O // ;SIGNATURE SUMMATION 
;;;;;;;END OF SEGMENT 
;[ ;;O ;SUMRY ;105;/M /M /M /M /M /M /O // ;CONTACT SUMMARY 
;[ ;;O ;ARR ;106;/M /M /M /M /*O // ;ARRIVAL 
;[ ;;O ;INPORT ;107;/M /M /M /M /*O // ;INPORT 
;[ ;;O ;DEP ;108;/M /M /M /M /*O // ;DEPARTURE 
;[ ;;O ;DEST ;109;/M /M /M /M /*O // ;DESTINATION 
;;;;;;;END OF SEGMENT 
;C ;;[M] ;UNK ;110;/M /M // ;UNKNOWN CONTACT 
;[ ;;O ;ASSOC ;111;/*M // ;ASSOCIATION 
;[ ;;O ;ELLIPSE ;112;/M /M /M /M // ;ELLIPSE 
;[ ;;C ;CIRC ;113;/M /*M // ;CIRCULAR AREA 
;[ ;;C ;AREA ;114;/O /*C // ;AREA 
;[ ;;M ;TIMEVENT ;115;/M /M /M /M /M /O /O // ;TIME OF SENSOR CONTACT EVENT 
;[ ;* ;C ;BRNG ;116;/M /M /M /O /O /O // ;BEARING 
;[ ;* ;M ;TMPOS ;117;/M /M /M /M /M /M /M /O /O /O // ;TIME AND POSITION 
;[ ;* ;O ;RELPO ;118;/M /M /M /M /M /O /O // ;RELATIVE TO OWN POSITION 
;[ O ;;[M] ;EMITTER ;119;/M /M /M /O /O /O // ;NON-ACOUSTIC EMISSION INTERCEPT 
;[ [ ;* ;O ;BRNG ;120;/M /M /M /O /O /O // ;BEARING 
;[ [ ;;O ;RADPA ;121;/M /O /O /O /O /O /O /O // ;RADAR PARAMETERS 
;;;;;;;END OF SEGMENT 
;[ O ;;[M] ;SIGNA ;122;/M /M /M /O /O // ;SIGNATURE 
;[ [ ;* ;O ;SIGSUM ;123;/M /M /M /O // ;SIGNATURE SUMMATION 
;;;;;;;END OF SEGMENT 
;[ ;;O ;SUMRY ;124;/M /M /M /M /M /M /O // ;CONTACT SUMMARY 
;[ ;;O ;ARR ;125;/M /M /M /M /*O // ;ARRIVAL 
;[ ;;O ;INPORT ;126;/M /M /M /M /*O // ;INPORT 
;[ ;;O ;DEP ;127;/M /M /M /M /*O // ;DEPARTURE 
;[ ;;O ;DEST ;128;/M /M /M /M /*O // ;DESTINATION 
;;;;;;;END OF SEGMENT
