Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
1084;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.MobiliteGenerale
1085;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';MPIA.Limite;MPIA.TypeUnite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPGT.AssocEntiteOrgTypeEntiteOrg}#AssocieCommeType{MPIA.TypeUnite}#MPIA.TypeUnite.QualificatifArme
1041;42;FIELD;LINETYPE;ORGIDBDY;6;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Limite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
1042;42;FIELD;LINETYPE;ORGIDBDY;7;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Limite;MPIA.TypeRegroupementForce;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeRegroupementForce.Categorie
1043;42;FIELD;LINETYPE;ORGIDBDY;8;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Limite;MPIA.EntitePolitique;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.Unite}#EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
1044;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
1045;42;FIELD;LINETYPE;ORGIDBDY;6;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Limite;MPIA.StructureOrganisee{MPIA.RacineOperationnelle};EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.StructureOrganisee}#MPIA.RacineOperationnelle.Nom
1046;42;FIELD;LINETYPE;ORGIDBDY;7;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;_;_;_
1047;42;FIELD;LINETYPE;ORGIDBDY;8;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Limite;MPIA.EntitePolitique;EstObjet{MPGT.AssociationEntiteOrgEltCtrl}#APourSujet{MPIA.StructureOrganisee}#EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
1048;42;FIELD;LINETYPE;ORGIDBDY;9;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
485;43;SET;LINETYPE;TPERID;;;;O-1;;TIME PERIOD COVERED;;;
486;43;COMP. FIELD;LINETYPE;TPERID;1;;2323/016;M-1;14..14;DTG FROM, ZULU, 4 YR;MPIA.EntiteOrganisationnelle{NON INST};MPIA.AssociationInstanceObjetInstanceObjet;EstSujet{MPIA.AssociationInstanceObjetInstanceObjet}#MPIA.AssociationInstanceObjetInstanceObjet.DateDebutRelation
487;43;COMP. FIELD;LINETYPE;TPERID;2;;2323/017;M-1;14..14;DTG TO, ZULU, 4 YR;MPIA.EntiteOrganisationnelle{NON INST};MPIA.AssociationInstanceObjetInstanceObjet;EstSujet{MPIA.AssociationInstanceObjetInstanceObjet}#MPIA.AssociationInstanceObjetInstanceObjet.DateFinRelation
488;44;SET;LINETYPE;QSTRTIME;;;;C-1;;QUALIFIED START TIME;;;
489;44;FIELD;LINETYPE;QSTRTIME;1;;1220/015;M-1;2..7;START TIME QUALIFIER;MPIA.EntiteOrganisationnelle{NON INST};MPIA.AssociationInstanceObjetInstanceObjet;EstSujet{MPIA.AssociationInstanceObjetInstanceObjet}#MPIA.AssociationInstanceObjetInstanceObjet.DateDebutRelation
490;44;COMP. FIELD;LINETYPE;QSTRTIME;2;;2033/001;M-1;14..14;DTG, 4-DIGIT YEAR;MPIA.EntiteOrganisationnelle{NON INST};MPIA.AssociationInstanceObjetInstanceObjet;EstSujet{MPIA.AssociationInstanceObjetInstanceObjet}#MPIA.AssociationInstanceObjetInstanceObjet.DateFinRelation
491;45;SET
Niveau 1;;GENTEXT;;;;C-1;;COMMANDERS ASSESSMENT;;;
492;45;FIELD;;GENTEXT;1;;1009/001;M-1;1..61;TEXT INDICATOR;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT.PARTTITL_4_COMMANDERS ASSESSMENT
493;45;FIELD;;GENTEXT;2;;1006/001;M-1;1..99;FREE TEXT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT;CORPS_DU_DOCUMENT.PARTTITL_4_COMMANDERS ASSESSMENT
FIN;;;;;;;;;;;;;
